nama,jenis,lat,lon,provinsi
Mengkalang,village,-1.63637,111.17401,KALIMANTAN TENGAH
Sungai Besar,village,-1.95645,110.09888,KALIMANTAN BARAT
Lembah Mukti,village,-2.36854,110.93307,KALIMANTAN BARAT
Nanga Belantikan,village,-1.97199,111.41997,KALIMANTAN TENGAH
Bukit Sungkai,village,-2.35028,111.21072,KALIMANTAN TENGAH
Suak Burung,village,-2.33616,111.05172,KALIMANTAN BARAT
Suka Makmur,village,-2.1838,112.04616,KALIMANTAN TENGAH
Karya Mukti,village,-1.70388,110.47766,KALIMANTAN BARAT
Umpang,village,-2.23745,111.78609,KALIMANTAN TENGAH
Mukti Manunggal,village,-2.04014,111.65627,KALIMANTAN TENGAH
Mendawai,village,-2.72028,111.17103,KALIMANTAN TENGAH
Pesaguan Kiri,village,-2.02461,110.11673,KALIMANTAN BARAT
Bintang Mangalih,village,-1.51588,111.36325,KALIMANTAN TENGAH
Tanjung Hara,village,-2.3804,112.17861,KALIMANTAN TENGAH
Nyalang,village,-1.65939,111.0459,KALIMANTAN TENGAH
Batu Sedau,village,-2.41576,111.0411,KALIMANTAN BARAT
Pangkalan Satu,village,-2.6477,111.75911,KALIMANTAN TENGAH
Nanga Koring,village,-1.89409,111.57958,KALIMANTAN TENGAH
Kenawan,village,-2.2446,111.33431,KALIMANTAN TENGAH
Air Durian Jaya,village,-2.36898,110.86025,KALIMANTAN BARAT
Tangga Batu,village,-1.84926,111.42323,KALIMANTAN TENGAH
Pangkalan Banteng,village,-2.49688,111.86735,KALIMANTAN TENGAH
Sungai Perlu,village,-3.47977,111.97208,KALIMANTAN TENGAH
Suka Jaya,village,-2.16376,112.10575,KALIMANTAN TENGAH
Natai Panjang,village,-1.81403,110.64898,KALIMANTAN BARAT
Sakabulin,village,-2.50063,111.30692,KALIMANTAN TENGAH
Mahawa,village,-1.93188,110.67525,KALIMANTAN BARAT
Kendawangan Kiri,village,-2.72506,110.09022,KALIMANTAN BARAT
Natai Raya,village,-2.66739,111.71269,KALIMANTAN TENGAH
Guci,village,-2.26781,111.44017,KALIMANTAN TENGAH
Padang,village,-2.70281,111.17407,KALIMANTAN TENGAH
Runjai Jaya,village,-2.11509,110.78155,KALIMANTAN BARAT
Jangkar Prima,village,-2.25965,111.53521,KALIMANTAN TENGAH
Harapan Baru,village,-2.07169,110.12821,KALIMANTAN BARAT
Sebabi,village,-2.30728,112.19984,KALIMANTAN TENGAH
Mendawai Seberang,village,-2.6782,111.62045,KALIMANTAN TENGAH
Tanggerang,village,-1.98858,110.75279,KALIMANTAN BARAT
Amin Jaya,village,-2.4442,111.96785,KALIMANTAN TENGAH
Merambang,village,-1.85079,111.60997,KALIMANTAN TENGAH
Sungai Baru,village,-2.99535,110.85168,KALIMANTAN TENGAH
Sungai Jawi,village,-1.90899,110.03037,KALIMANTAN BARAT
Tanjung Beringin,village,-1.80632,111.09623,KALIMANTAN TENGAH
Gandis,village,-2.14312,111.94275,KALIMANTAN TENGAH
Mugi Panyuhu,village,-1.99137,112.18282,KALIMANTAN TENGAH
Lembah Hijau Satu,village,-1.5524,110.48083,KALIMANTAN BARAT
Riam Durian,village,-2.44596,111.3374,KALIMANTAN TENGAH
Mayak,village,-1.75493,110.21062,KALIMANTAN BARAT
Air Hitam Hulu,village,-2.78561,110.62727,KALIMANTAN BARAT
Bukit Jaya,village,-1.90488,111.4829,KALIMANTAN TENGAH
Ginih,village,-1.69999,111.18493,KALIMANTAN TENGAH
Baru,village,-1.84891,109.95963,KALIMANTAN BARAT
Kawa,village,-1.87995,111.1152,KALIMANTAN TENGAH
Balai Riam,village,-2.33326,111.15588,KALIMANTAN TENGAH
Sari Bekayas,village,-2.29742,110.83821,KALIMANTAN BARAT
Sukorejo,village,-2.26617,112.06101,KALIMANTAN TENGAH
Baru,village,-2.66787,111.65202,KALIMANTAN TENGAH
Jairan Jaya,village,-1.76118,110.44598,KALIMANTAN BARAT
Suka Sari,village,-2.38705,110.61727,KALIMANTAN BARAT
Arga Mulya,village,-2.39681,111.92036,KALIMANTAN TENGAH
Lubuk Hiju,village,-1.86588,111.77549,KALIMANTAN TENGAH
Sungai Damar,village,-3.01899,111.12407,KALIMANTAN TENGAH
Belaban,village,-2.05975,110.64957,KALIMANTAN BARAT
Kinipan,village,-1.73642,111.182,KALIMANTAN TENGAH
Penyombaan,village,-2.02478,111.94844,KALIMANTAN TENGAH
Durian Tunggal,village,-1.94921,112.15105,KALIMANTAN TENGAH
Lalang,village,-2.4288,111.45766,KALIMANTAN TENGAH
Nuangan,village,-1.91723,111.51544,KALIMANTAN TENGAH
Sekombulan,village,-1.62925,110.93715,KALIMANTAN TENGAH
Paya Kumang,village,-1.81345,109.97045,KALIMANTAN BARAT
Mulia Kerta,village,-1.84932,109.99388,KALIMANTAN BARAT
Kesuma Jaya,village,-1.9461,110.84488,KALIMANTAN BARAT
Sungai Tendang,village,-2.72295,111.70897,KALIMANTAN TENGAH
Sekoban,village,-1.89861,111.3618,KALIMANTAN TENGAH
Pempaning,village,-2.29968,111.10755,KALIMANTAN TENGAH
Kalang,village,-2.22253,112.12764,KALIMANTAN TENGAH
Makarti Jaya,village,-2.45986,111.72433,KALIMANTAN TENGAH
Bahaur,village,-2.53712,112.1611,KALIMANTAN TENGAH
Batu Menangis,village,-2.18415,112.16667,KALIMANTAN TENGAH
Petebang Jaya,village,-1.867,110.74863,KALIMANTAN BARAT
Sungai Awan Kanan,village,-1.75562,109.99472,KALIMANTAN BARAT
Bumi Agung,village,-2.15354,111.41817,KALIMANTAN TENGAH
Sungai Cabang Barat,village,-2.98998,111.17668,KALIMANTAN TENGAH
Harapan Baru,village,-2.26191,110.86576,KALIMANTAN BARAT
Bukit Harum,village,-2.12727,111.64582,KALIMANTAN TENGAH
Sungai Sekonyer,village,-2.82507,111.80179,KALIMANTAN TENGAH
Pangkalan Bun,town,-2.68539,111.63223,KALIMANTAN TENGAH
Batu Ampar,village,-1.95416,111.74693,KALIMANTAN TENGAH
Perigi Raya,village,-2.08578,111.54887,KALIMANTAN TENGAH
Nanga Pamalontian,village,-2.04559,111.52762,KALIMANTAN TENGAH
Batu Hambawang,village,-2.23933,111.4708,KALIMANTAN TENGAH
Tajok Kayong,village,-1.58894,110.58434,KALIMANTAN BARAT
Kayong Hulu,village,-1.55918,110.65953,KALIMANTAN BARAT
Mekar Jaya,village,-2.27735,110.79834,KALIMANTAN BARAT
Sidahari,village,-1.93449,110.75577,KALIMANTAN BARAT
Teluk Runjai,village,-1.98015,110.78661,KALIMANTAN BARAT
Pangkalan Suka,village,-1.95047,110.89294,KALIMANTAN BARAT
Riam Batu Gading,village,-2.11021,110.72563,KALIMANTAN BARAT
Deranuk,village,-2.04371,110.84739,KALIMANTAN BARAT
Asam Jelai,village,-2.07045,110.92868,KALIMANTAN BARAT
Sengkuang Merabong,village,-2.21048,110.95793,KALIMANTAN BARAT
Kalimantan,village,-2.32606,110.98899,KALIMANTAN BARAT
Sepauhan Raya,village,-1.97783,110.60425,KALIMANTAN BARAT
Batu Beransak,village,-1.79443,110.70271,KALIMANTAN BARAT
Beringin Rayo,village,-1.74054,110.74296,KALIMANTAN BARAT
Air Dua,village,-1.9463,110.81581,KALIMANTAN BARAT
Limpang,village,-1.87701,110.8332,KALIMANTAN BARAT
Karang Dangin,village,-1.93119,110.91701,KALIMANTAN BARAT
Pasir Mayang,village,-1.86751,110.78257,KALIMANTAN BARAT
Tebing Berseri,village,-1.99249,110.86405,KALIMANTAN BARAT
Titi Baru,village,-1.83671,110.6168,KALIMANTAN BARAT
Riam Danau Kanan,village,-1.9477,110.84747,KALIMANTAN BARAT
Aur Gading,village,-1.80179,110.59836,KALIMANTAN BARAT
Tanjung Beulang,village,-1.74727,110.69753,KALIMANTAN BARAT
Serengkah Kanan,village,-1.77964,110.70788,KALIMANTAN BARAT
Suka Damai,village,-1.80341,110.67545,KALIMANTAN BARAT
Jelayan,village,-1.80975,110.63515,KALIMANTAN BARAT
Tanjung Maloi,village,-1.80727,110.66364,KALIMANTAN BARAT
Air Tarap,village,-2.51736,110.76492,KALIMANTAN BARAT
Samu Jaya,village,-1.88127,111.32948,KALIMANTAN TENGAH
Kenambui,village,-2.3605,111.64255,KALIMANTAN TENGAH
Sulung,village,-2.3452,111.63706,KALIMANTAN TENGAH
Rimba Jaya,village,-2.22916,111.58721,KALIMANTAN TENGAH
Wonorejo,village,-2.24507,111.57191,KALIMANTAN TENGAH
Pangkalan Durin,village,-2.58831,111.7547,KALIMANTAN TENGAH
Pangkalan Dewa,village,-2.4903,111.82438,KALIMANTAN TENGAH
Sungai Melawen,village,-2.52584,111.74078,KALIMANTAN TENGAH
Kadipi Atas,village,-2.49952,111.71315,KALIMANTAN TENGAH
Berambai Makmur,village,-2.53308,111.87636,KALIMANTAN TENGAH
Sungai Pulau,village,-2.59897,111.86001,KALIMANTAN TENGAH
Karang Sari,village,-2.58498,111.87797,KALIMANTAN TENGAH
Simpang Berambai,village,-2.49365,111.90455,KALIMANTAN TENGAH
Sungai Pakit,village,-2.42602,111.94012,KALIMANTAN TENGAH
Sungai Hijau,village,-2.44631,111.91264,KALIMANTAN TENGAH
Sungai Kuning,village,-2.37399,111.87677,KALIMANTAN TENGAH
Batu Belaman,village,-2.73388,111.67493,KALIMANTAN TENGAH
UPT Kumai Seberang,hamlet,-2.77661,111.73975,KALIMANTAN TENGAH
Kumai Seberang,hamlet,-2.76696,111.74608,KALIMANTAN TENGAH
Teluk Pulai,village,-2.97737,111.80648,KALIMANTAN TENGAH
Sabuai Timur,village,-2.95873,111.50333,KALIMANTAN TENGAH
Natai Baru,village,-2.60363,111.68788,KALIMANTAN TENGAH
Tanjung Terantang,village,-2.80966,111.50492,KALIMANTAN TENGAH
Pasir Panjang,village,-2.70919,111.65149,KALIMANTAN TENGAH
Madurejo,village,-2.68891,111.6389,KALIMANTAN TENGAH
Sungai Dau,village,-1.97147,112.07023,KALIMANTAN TENGAH
Panahan,village,-1.88728,111.89362,KALIMANTAN TENGAH
Sukarami,village,-2.16658,111.94665,KALIMANTAN TENGAH
Kotawaringin Hulu,village,-2.48228,111.44308,KALIMANTAN TENGAH
Suka Jaya,village,-2.44538,111.30874,KALIMANTAN TENGAH
Natai Kuini,village,-2.94566,110.75055,KALIMANTAN BARAT
Muara Semayok,village,-1.70728,110.54877,KALIMANTAN BARAT
Kerta Baru,village,-1.76246,110.60098,KALIMANTAN BARAT
Usaha Baru,village,-1.69329,110.49272,KALIMANTAN BARAT
Pateh Benteng,village,-1.64023,110.57255,KALIMANTAN BARAT
Sepakat Jaya,village,-1.63018,110.5095,KALIMANTAN BARAT
Kayung Tuhe,village,-1.57589,110.61182,KALIMANTAN BARAT
Muara Gerunggang,village,-1.64145,110.44889,KALIMANTAN BARAT
Batu Mas,village,-1.67922,110.5821,KALIMANTAN BARAT
Simpang Tiga Sembelangaan,village,-1.50173,110.38681,KALIMANTAN BARAT
Kayong Utara,village,-1.50997,110.65113,KALIMANTAN BARAT
Cegolak,village,-1.6628,110.57579,KALIMANTAN BARAT
Sungai Melayu,village,-1.77879,110.47154,KALIMANTAN BARAT
Makmur Abadi,village,-1.6775,110.28814,KALIMANTAN BARAT
Mekar Jaya,village,-1.72947,110.40598,KALIMANTAN BARAT
Suka Maju,village,-1.74933,110.00409,KALIMANTAN BARAT
Rangga Intan,village,-1.89757,110.75679,KALIMANTAN BARAT
Kusik Batu Lapu,village,-2.04412,110.9122,KALIMANTAN BARAT
Sepuring Indah,village,-1.77865,110.60261,KALIMANTAN BARAT
Jungkal,village,-1.93886,110.46336,KALIMANTAN BARAT
Pengatapan Raya,village,-1.78604,110.55208,KALIMANTAN BARAT
Perimping,hamlet,-2.28952,110.77839,KALIMANTAN BARAT
