nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Kanaan,village,0.1292,117.45252,KALIMANTAN TIMUR,26.981239318847656,26.418052673339844,24.37345314025879,25.092304692090906,25.092304692090906,25.092304692090906,2026-09-13,2026-09-14,2026-09-15
Rebaq Rinding,village,-0.3468,116.38226,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,29.200016849166072,29.200016849166072,29.200016849166072,2026-09-13,2026-09-14,2026-09-15
Muara Sembilang,village,-0.88071,117.20573,KALIMANTAN TIMUR,15.37684440612793,15.118368148803711,14.298763275146484,23.28008615460558,23.28008615460558,23.28008615460558,2026-09-13,2026-09-14,2026-09-15
Jak Luay,village,1.01563,116.86706,KALIMANTAN TIMUR,26.685718536376953,26.02151107788086,23.504852294921875,35.293426603054925,35.293426603054925,35.293426603054925,2026-09-13,2026-09-14,2026-09-15
Muara Tuboq,village,0.58638,115.97412,KALIMANTAN TIMUR,18.094446182250977,20.776586532592773,18.164382934570312,27.570275001374313,27.570275001374313,27.570275001374313,2026-09-13,2026-09-14,2026-09-15
Tuana Tuha,village,-0.02171,116.42491,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,27.78620666806944,27.78620666806944,27.78620666806944,2026-09-13,2026-09-14,2026-09-15
Loa Ulung,village,-0.35967,117.00747,KALIMANTAN TIMUR,28.028072357177734,27.442781448364258,25.104246139526367,20.520239677630276,20.520239677630276,20.520239677630276,2026-09-13,2026-09-14,2026-09-15
Muara Baroh,village,-0.32126,116.0677,KALIMANTAN TIMUR,35.77309799194336,36.768409729003906,32.896358489990234,13.953636698800583,13.953636698800583,13.953636698800583,2026-09-13,2026-09-14,2026-09-15
Mandu Pantai Sejahtera,village,1.0625,117.9903,KALIMANTAN TIMUR,13.88227653503418,14.10601806640625,13.234689712524414,29.08873061481542,29.08873061481542,29.08873061481542,2026-09-13,2026-09-14,2026-09-15
Semoi Dua,village,-0.94792,116.8834,KALIMANTAN TIMUR,15.37684440612793,15.118368148803711,14.298763275146484,36.60494278894957,36.60494278894957,36.60494278894957,2026-09-13,2026-09-14,2026-09-15
Sungai Meriam,village,-0.57324,117.26251,KALIMANTAN TIMUR,15.37684440612793,15.118368148803711,14.298763275146484,22.916496549438346,22.916496549438346,22.916496549438346,2026-09-13,2026-09-14,2026-09-15
Melayu,village,-0.42042,116.9863,KALIMANTAN TIMUR,28.028072357177734,27.442781448364258,25.104246139526367,27.578196078737573,27.578196078737573,27.578196078737573,2026-09-13,2026-09-14,2026-09-15
Siram Jaya,village,-0.7418,116.21199,KALIMANTAN TIMUR,17.860916137695312,20.413249969482422,17.640682220458984,13.290940400231381,13.290940400231381,13.290940400231381,2026-09-13,2026-09-14,2026-09-15
Rantau Hempang,village,-0.21561,116.78381,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,20.512177142481878,20.512177142481878,20.512177142481878,2026-09-13,2026-09-14,2026-09-15
Waru,village,-1.38779,116.62115,KALIMANTAN TIMUR,14.908312797546387,14.671296119689941,14.206857681274414,21.01324587207024,21.01324587207024,21.01324587207024,2026-09-13,2026-09-14,2026-09-15
Liang,village,-0.22521,116.59218,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,2.934989313665143,2.934989313665143,2.934989313665143,2026-09-13,2026-09-14,2026-09-15
Satimpo,village,0.11221,117.47143,KALIMANTAN TIMUR,26.981239318847656,26.418052673339844,24.37345314025879,25.30633844055042,25.30633844055042,25.30633844055042,2026-09-13,2026-09-14,2026-09-15
Teluk Lingga,village,0.51525,117.54203,KALIMANTAN TIMUR,26.981239318847656,26.418052673339844,24.37345314025879,24.78746903492955,24.78746903492955,24.78746903492955,2026-09-13,2026-09-14,2026-09-15
